Link,ID,Date,Name,price,condition,vin,cyliners,drive,fuel,odometer,paint,size,title,transmision,type
https://orangecounty.craigslist.org/cto/d/dana-point-2013-lexus-is250/6790182067.html,6790182067,2019-01-08 13:15,2013 lexus is 250,9500, salvage, JTHBF5C22D5193292,, fwd, gas, 92000, black,, salvage, automatic, sedan
https://orangecounty.craigslist.org/cto/d/aliso-viejo-2013-bmw-x6-great-condition/6785678185.html,6785678185,2019-01-02 21:37,2013 BMW X6 XDrive 35i,21000, excellent, 5UXFG2C58DL786593, 6 cylinders, 4wd, gas, 82500, black, full-size, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2013-bmw-535i-with-60k/6771135474.html,6771135474,2018-12-12 11:40,2013 BMW 535i,13900, excellent,, 6 cylinders, rwd, gas, 60000, black,, salvage, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-jaguar-xk-convertible-2007/6789642046.html,6789642046,2019-01-07 20:56,2007 jaguar xk convertible,16400, excellent, SAJDA44B275B04556, 8 cylinders, rwd, gas, 77000, black,, clean, automatic, convertible
https://orangecounty.craigslist.org/cto/d/dana-point-2004-acura-tsx-6-speed/6789520074.html,6789520074,2019-01-07 16:49,2004 acura tsx,4500, good,, 4 cylinders, fwd, gas, 172000, black, mid-size, clean, manual, sedan
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-2006-mini-cooper/6789515588.html,6789515588,2019-01-07 16:43,2006 S Hatchback SD,5499, excellent,, 4 cylinders, fwd, gas, 85000, grey, compact, clean, automatic, hatchback
https://orangecounty.craigslist.org/cto/d/dana-point-2014-audi-s8/6789490623.html,6789490623,2019-01-07 16:08,2014 Audi S8,49000, good,, 8 cylinders, 4wd, gas, 42750, black, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/dana-point-2000-jeep-wrangler/6789470288.html,6789470288,2019-01-07 15:41,2000 jeep wrangler,12500, excellent,, 4 cylinders, 4wd, gas, 54000, yellow, compact, clean, manual, SUV
https://orangecounty.craigslist.org/cto/d/dana-point-2015-jeep-grand-cherokee/6786988120.html,6786988120,2019-01-04 12:09,2015 jeep grand cherokee laredo 2wd,18500, excellent,, 6 cylinders, rwd, gas, 50500, grey,, clean, automatic, SUV
https://losangeles.craigslist.org/lac/cto/d/san-juan-capistrano-ford-2008-taurus/6772004950.html,6772004950,2018-12-13 13:00,2008 ford tauras,3000, excellent, 1fmdk02w58ga18313, 6 cylinders, fwd, gas, 140000, custom, full-size, salvage, automatic,
https://orangecounty.craigslist.org/cto/d/dana-point-2009-toyota-corolla/6779357504.html,6779357504,2018-12-23 19:31,2009 toyota corolla,6490, like new,, 4 cylinders, fwd, gas, 83000,, compact, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/dana-point-jeep-jk-wrangler-unlimited/6783925243.html,6783925243,2018-12-31 09:44,2008 jeep wrangler unlimited,24000, excellent,, 6 cylinders, 4wd, gas, 165000, green, full-size, clean, automatic, offroad
https://orangecounty.craigslist.org/cto/d/dana-point-jeep-jk-wrangler-unlimited/6783923693.html,6783923693,2018-12-31 09:42,2008 jeep wrangler unlimited,24000, excellent,, 6 cylinders, 4wd, gas, 165000, green, full-size, clean, automatic, offroad
https://orangecounty.craigslist.org/cto/d/laguna-niguel-rare-1970-datsun-240z/6788346004.html,6788346004,2019-01-06 09:41,1970 Datsun 240 Z,24000, good, HLS3017584, 6 cylinders, rwd, gas, 136000, white, sub-compact, clean, manual, coupe
https://orangecounty.craigslist.org/cto/d/laguna-niguel-porsche-boxster/6788166268.html,6788166268,2019-01-06 01:33,2002 Porsche,5995, good, WPOCA29872U624288, 6 cylinders, rwd, gas, 175500, grey,, clean, manual, convertible
https://orangecounty.craigslist.org/cto/d/laguna-niguel-hyundai-sonata-gls-2014/6781622956.html,6781622956,2018-12-27 20:14,2014 hyundai sonata,10600, excellent,, 4 cylinders,, gas, 85226, white, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2012-volvo-s60/6787967467.html,6787967467,2019-01-05 15:30,2012 VOLVO S60,7500, excellent, YV1622FS3C2118345, 5 cylinders, rwd, gas, 122837, white, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2011-maxima/6787810897.html,6787810897,2019-01-05 12:21,2011 nissan maxima 3.5 sv,9000, like new, 1N4AA5AP6BC804255, 6 cylinders, rwd, gas, 110503, white, full-size, clean, automatic, sedan
